id,pca_kernel,gamma,alpha,degree,scale_type,gp_kernel,fit_time,total_time,mre
1,None,None,None,None,standard,"1**2*RBF(length_scale=[1,1,1,1,1,1,1,1,1])+WhiteKernel(noise_level=0.01)",9.630565643310547,9.727349996566772,0.0034252603
2,None,None,None,None,standard,"1**2*Matern(length_scale=[1,1,1,1,1,1,1,1,1],nu=2.5)+WhiteKernel(noise_level=0.01)",15.841662645339966,15.933673620223999,0.0025744583
3,None,None,None,None,standard,"1**2*RationalQuadratic(alpha=1,length_scale=1)+WhiteKernel(noise_level=0.01)",6.555018186569214,6.648279190063477,0.005276478
4,None,None,None,None,standard,"1**2*RBF(length_scale=[1,1,1,1,1,1,1,1,1])+RationalQuadratic(alpha=1,length_scale=1)+WhiteKernel(noise_level=0.01)",34.00699853897095,34.10218954086304,0.003468739
5,None,None,None,None,standard,"1**2*DotProduct(sigma_0=1)+RBF(length_scale=[1,1,1,1,1,1,1,1,1])+WhiteKernel(noise_level=0.01)",19.50546407699585,19.595975875854492,0.003309411
6,None,None,None,None,standard,1**2*DotProduct(sigma_0=1)+WhiteKernel(noise_level=0.01),3.620622158050537,3.710139036178589,0.050052837
7,None,None,None,None,standard,"1**2*Matern(length_scale=[1,1,1,1,1,1,1,1,1],nu=1.5)+RationalQuadratic(alpha=1,length_scale=1)+WhiteKernel(noise_level=0.01)",31.873053073883057,31.966060161590576,0.0035213593
8,None,None,None,None,minmax,"1**2*RBF(length_scale=[1,1,1,1,1,1,1,1,1])+WhiteKernel(noise_level=0.01)",9.360080480575562,9.451061964035034,0.0030522004
9,None,None,None,None,minmax,"1**2*Matern(length_scale=[1,1,1,1,1,1,1,1,1],nu=2.5)+WhiteKernel(noise_level=0.01)",12.19426941871643,12.286577463150024,0.0024476764
10,None,None,None,None,minmax,"1**2*RationalQuadratic(alpha=1,length_scale=1)+WhiteKernel(noise_level=0.01)",5.467838287353516,5.558834552764893,0.004798609
11,None,None,None,None,minmax,"1**2*RBF(length_scale=[1,1,1,1,1,1,1,1,1])+RationalQuadratic(alpha=1,length_scale=1)+WhiteKernel(noise_level=0.01)",26.143948316574097,26.238032579421997,0.0030885767
12,None,None,None,None,minmax,"1**2*DotProduct(sigma_0=1)+RBF(length_scale=[1,1,1,1,1,1,1,1,1])+WhiteKernel(noise_level=0.01)",21.02861523628235,21.118627309799194,0.0031242622
13,None,None,None,None,minmax,1**2*DotProduct(sigma_0=1)+WhiteKernel(noise_level=0.01),2.2960495948791504,2.3875629901885986,0.05043885
14,None,None,None,None,minmax,"1**2*Matern(length_scale=[1,1,1,1,1,1,1,1,1],nu=1.5)+RationalQuadratic(alpha=1,length_scale=1)+WhiteKernel(noise_level=0.01)",26.426051378250122,26.51937246322632,0.0034206063
